nombre_adr,campaña,anio_inicio,pp_total_mm,pp_siembra_mm,pp_floracion_mm,pp_llenado_mm,tmed_campaña,tmax_floracion,tmin_llenado,rinde_kgha,pp_promedio_historico,anomalia_pp,ratio_pp_floracion,estres_termico,rinde_qqha,tendencia
ARECO,2000/01,2000,1012.1323277,302.2162096,291.889369,418.0379991,20.9548893,36.721695,10.29046243,2859.353334,694.8579726875,317.2743550125,0.2883905206973264,26.43123257,28.59353334,0
ARECO,2001/02,2001,901.0113759,372.609446,168.9138023,359.4993776,20.84872334,35.99810944,10.13169517,2631.517107,694.8579726875,206.15340321249994,0.18747133145935677,25.86641427,26.31517107,1
ARECO,2002/03,2002,866.7460756,300.9141591,229.724184,336.1924074,21.04479076,36.86998686,8.200330600000001,3179.732595,694.8579726875,171.88810291250002,0.265042081489639,28.669656259999996,31.79732595,2
ARECO,2003/04,2003,564.5922274,229.9783818,248.8291994,85.7881898,21.67272916,37.50015345,11.85352466,2951.0345230000003,694.8579726875,-130.26574528750007,0.440723742418279,25.64662879,29.510345230000002,3
ARECO,2004/05,2004,673.0823634999999,170.7991763,293.291437,208.9922817,21.42619226,38.41183879,8.16698634,3125.902991,694.8579726875,-21.775609187500095,0.4357437557491432,30.244852449999996,31.25902991,4
ARECO,2005/06,2005,591.5019795,131.4331011,249.8376375,210.2276972,21.28901669,38.89289719,10.49518428,3222.786536,694.8579726875,-103.35599318750008,0.42237836247173544,28.39771291,32.22786536,5
ARECO,2006/07,2006,1053.2309796,274.0188674,263.7040134,515.4639101,22.01324688,36.95628814,10.90761807,3402.822248,694.8579726875,358.37300691249993,0.2503762408319498,26.04867007,34.02822248,6
ARECO,2007/08,2007,625.7660735999999,219.8994412,163.3057631,242.5496192,21.36117932,39.16469734,11.3035322,3325.95349,694.8579726875,-69.09189908750011,0.26096934619755013,27.861165139999997,33.2595349,7
ARECO,2008/09,2008,475.432887,154.7520301,88.8590524,231.7663657,23.23303833,39.11560567,11.27994736,1278.801925,694.8579726875,-219.42508568750003,0.18690135838247132,27.83565831,12.78801925,8
ARECO,2009/10,2009,1053.59964,290.4435785,382.0022645,381.1568092,21.2000782,35.23731807,8.45322805,3525.301889,694.8579726875,358.7416673124999,0.36256871205840585,26.78409002,35.25301889,9
ARECO,2010/11,2010,453.7343779,73.416839,195.7229538,184.542849,21.38236923,38.2181733,9.62258511,3413.370481,694.8579726875,-241.1235947875,0.4313602039718842,28.595588189999997,34.13370481,10
ARECO,2011/12,2011,598.0286575,161.2282127,90.2929443,346.5105126,22.12136104,41.79668119,9.17669588,2860.971609,694.8579726875,-96.82931518750001,0.15098431014570568,32.619985310000004,28.609716090000003,11
ARECO,2012/13,2012,878.9925732,393.7519463,259.0258952,226.2259816,20.83420379,35.79892322,7.23252461,3339.3200349999997,694.8579726875,184.13460051250001,0.29468496446677367,28.56639861,33.39320035,12
ARECO,2013/14,2013,850.0211611,223.3661184,245.887376,380.7564168,21.65261598,40.05130072,8.34749572,3628.9683290000003,694.8579726875,155.16318841249995,0.2892720643351993,31.703805000000003,36.28968329,13
ARECO,2014/15,2014,789.0825491999999,398.7860347,307.7686273,82.6090186,21.19096311,33.426984399999995,10.2866836,4331.571382,694.8579726875,94.22457651249988,0.3900334985383048,23.140300799999995,43.31571382,14
ARECO,2015/16,2015,616.4698727,256.9409066,122.772129,236.8010258,21.4198321,38.83640858,9.90775526,3823.344766,694.8579726875,-78.38809998750003,0.1991534938476159,28.928653319999995,38.23344766,15
ARECO,2016/17,2016,703.7183789,201.6960427,261.7457676,240.2765686,21.64547935,37.71809971,10.10152524,3820.769889,694.8579726875,8.860406212499925,0.3719467551908215,27.616574469999996,38.20769889,16
ARECO,2017/18,2017,423.9098061,153.7037547,152.6276667,117.5783846,21.75029777,39.54386989,9.2578473,2505.217114,694.8579726875,-270.9481665875,0.36004750185938195,30.28602259,25.05217114,17
ARECO,2018/19,2018,820.4203805999999,213.3087155,420.9100679,186.2457859,20.36715882,33.43452644,7.29323052,3892.912358,694.8579726875,125.5624079124999,0.5130419451454569,26.141295919999997,38.92912358,18
