nombre_adr;partido;peso_adr;peso_adr_pct
TANDIL;AZUL;0.002811;0.2811
TANDIL;NECOCHEA;0.00433;0.433
TANDIL;TANDIL;0.617958;617.958
TANDIL;BENITO JUÁREZ;0.033474;33.474
TANDIL;AYACUCHO;0.13286;13.286
TANDIL;BALCARCE;0.006512;0.6512
TANDIL;LOBERÍA;0.112508;112.508
TANDIL;RAUCH;0.089547;89.547
BENITO JUÁREZ;AZUL;0.050233;50.233
BENITO JUÁREZ;NECOCHEA;0.035707;35.707
BENITO JUÁREZ;TANDIL;0.000583;0.0583
BENITO JUÁREZ;BENITO JUÁREZ;0.58582;58.582
BENITO JUÁREZ;LAPRIDA;0.001664;0.1664
BENITO JUÁREZ;ADOLFO GONZALES CHAVES;0.275195;275.195
BENITO JUÁREZ;OLAVARRÍA;0.001196;0.1196
BENITO JUÁREZ;SAN CAYETANO;0.045997;45.997
BENITO JUÁREZ;TRES ARROYOS;0.003607;0.3607
JUAN N FERNANDEZ;NECOCHEA;0.712899;712.899
JUAN N FERNANDEZ;TANDIL;0.001381;0.1381
JUAN N FERNANDEZ;BENITO JUÁREZ;0.000455;0.0455
JUAN N FERNANDEZ;LOBERÍA;0.283219;283.219
JUAN N FERNANDEZ;SAN CAYETANO;0.002046;0.2046
TRES ARROYOS;CORONEL PRINGLES;0.034007;34.007
TRES ARROYOS;CORONEL DORREGO;0.144037;144.037
TRES ARROYOS;ADOLFO GONZALES CHAVES;0.178838;178.838
TRES ARROYOS;SAN CAYETANO;0.059887;59.887
TRES ARROYOS;TRES ARROYOS;0.583231;583.231
ORENSE;NECOCHEA;0.001163;0.1163
ORENSE;CORONEL DORREGO;0.000553;0.0553
ORENSE;SAN CAYETANO;0.20933;20.933
ORENSE;TRES ARROYOS;0.788954;788.954
NECOCHEA;NECOCHEA;0.601149;601.149
NECOCHEA;LOBERÍA;0.389483;389.483
NECOCHEA;SAN CAYETANO;0.009367;0.9367
MAR DEL PLATA;GENERAL PUEYRREDÓN;0.320603;320.603
MAR DEL PLATA;GENERAL ALVARADO;0.351815;351.815
MAR DEL PLATA;VILLA GESELL;2.2e-05;0.0022
MAR DEL PLATA;BALCARCE;0.000112;0.0112
MAR DEL PLATA;LOBERÍA;0.152423;152.423
MAR DEL PLATA;MAR CHIQUITA;0.175025;175.025
BALCARCE;GENERAL PUEYRREDÓN;0.002703;0.2703
BALCARCE;GENERAL ALVARADO;0.003943;0.3943
BALCARCE;TANDIL;0.012813;12.813
BALCARCE;AYACUCHO;0.108501;108.501
BALCARCE;BALCARCE;0.607815;607.815
BALCARCE;LOBERÍA;0.122628;122.628
BALCARCE;MAR CHIQUITA;0.141596;141.596
AYACUCHO;TANDIL;0.003741;0.3741
AYACUCHO;PILA;0.003235;0.3235
AYACUCHO;MAIPÚ;0.03492;3.492
AYACUCHO;AYACUCHO;0.716454;716.454
AYACUCHO;GENERAL GUIDO;0.236064;236.064
AYACUCHO;MAR CHIQUITA;0.005586;0.5586
GENERAL MADARIAGA;VILLA GESELL;0.000908;0.0908
GENERAL MADARIAGA;GENERAL LAVALLE;0.173588;173.588
GENERAL MADARIAGA;MAIPÚ;0.228709;228.709
GENERAL MADARIAGA;AYACUCHO;0.002808;0.2808
GENERAL MADARIAGA;GENERAL GUIDO;0.012716;12.716
GENERAL MADARIAGA;DOLORES;0.109343;109.343
GENERAL MADARIAGA;GENERAL MADARIAGA;0.275736;275.736
GENERAL MADARIAGA;MAR CHIQUITA;0.125676;125.676
GENERAL MADARIAGA;TORDILLO;0.070517;70.517
LOBOS;CAÑUELAS;0.077011;77.011
LOBOS;LUJÁN;2.5e-05;0.0025
LOBOS;SUIPACHA;0.00031;0.031
LOBOS;LOBOS;0.344752;344.752
LOBOS;GENERAL LAS HERAS;0.038823;38.823
LOBOS;GENERAL BELGRANO;0.029127;29.127
LOBOS;CHIVILCOY;0.000775;0.0775
LOBOS;MARCOS PAZ;2.3e-05;0.0023
LOBOS;NAVARRO;0.322818;322.818
LOBOS;MONTE;0.162062;162.062
LOBOS;ROQUE PÉREZ;0.022346;22.346
LOBOS;MERCEDES;0.001387;0.1387
LOBOS;VEINTICINCO DE MAYO;0.000541;0.0541
AZUL;AZUL;0.84942;84.942
AZUL;TANDIL;0.00143;0.143
AZUL;LAS FLORES;2,00E-06;0.0002
AZUL;OLAVARRÍA;0.001814;0.1814
AZUL;RAUCH;0.001422;0.1422
AZUL;TAPALQUÉ;0.145913;145.913
RAUCH;AZUL;0.004548;0.4548
RAUCH;PILA;0.193059;193.059
RAUCH;LAS FLORES;0.142424;142.424
RAUCH;AYACUCHO;0.142434;142.434
RAUCH;GENERAL BELGRANO;8.2e-05;0.0082
RAUCH;RAUCH;0.517453;517.453
CHASCOMUS;PILA;0.001694;0.1694
CHASCOMUS;BRANDSEN;0.000757;0.0757
CHASCOMUS;CASTELLI;0.087522;87.522
CHASCOMUS;CHASCOMÚS;0.663726;663.726
CHASCOMUS;GENERAL PAZ;0.000962;0.0962
CHASCOMUS;MAGDALENA;0.000764;0.0764
CHASCOMUS;PUNTA INDIO;0.001837;0.1837
CHASCOMUS;LEZAMA;0.242738;242.738
GENERAL BELGRANO;CAÑUELAS;0.015555;15.555
GENERAL BELGRANO;PILA;0.306912;306.912
GENERAL BELGRANO;LAS FLORES;0.002358;0.2358
GENERAL BELGRANO;CASTELLI;0.000422;0.0422
GENERAL BELGRANO;CHASCOMÚS;0.075148;75.148
GENERAL BELGRANO;GENERAL BELGRANO;0.307974;307.974
GENERAL BELGRANO;GENERAL PAZ;0.090143;90.143
GENERAL BELGRANO;MONTE;0.197328;197.328
GENERAL BELGRANO;LEZAMA;0.00416;0.416
ARECO;PILAR;1,00E-06;0.0001
ARECO;ZÁRATE;0.099843;99.843
ARECO;CAMPANA;0.012657;12.657
ARECO;LUJÁN;0.022197;22.197
ARECO;CARMEN DE ARECO;0.035436;35.436
ARECO;CAPITÁN SARMIENTO;0.005314;0.5314
ARECO;EXALTACIÓN DE LA CRUZ;0.152687;152.687
ARECO;BARADERO;0.211288;211.288
ARECO;MERCEDES;0.001166;0.1166
ARECO;SAN ANTONIO DE ARECO;0.230599;230.599
ARECO;SAN ANDRÉS DE GILES;0.228812;228.812
ROQUE PEREZ;LAS FLORES;0.009206;0.9206
ROQUE PEREZ;LOBOS;0.003617;0.3617
ROQUE PEREZ;GENERAL BELGRANO;0.006112;0.6112
ROQUE PEREZ;CHIVILCOY;0.000936;0.0936
