nombre_adr,campaña,pp_acumulada_mm,anomalia_mm,rinde_pred_kgha,rinde_pred_qqha
ARECO,2025/26,694.9,0.0,2919.0,29.2
AYACUCHO,2025/26,571.3,0.0,1728.0,17.3
AZUL,2025/26,581.3,0.0,1498.0,15.0
BALCARCE,2025/26,607.9,0.0,2027.0,20.3
BENITO JUÁREZ,2025/26,541.4,0.0,1743.0,17.4
BOLÍVAR,2025/26,648.0,0.0,2485.0,24.8
CARHUE,2025/26,539.7,0.0,2338.0,23.4
CHACABUCO,2025/26,717.3,0.0,3873.0,38.7
CHASCOMUS,2025/26,600.7,0.0,2436.0,24.4
CORONEL PRINGLES,2025/26,479.5,0.0,1315.0,13.1
CORONEL SUÁREZ,2025/26,491.7,0.0,1375.0,13.8
GENERAL BELGRANO,2025/26,600.3,0.0,2645.0,26.5
GENERAL MADARIAGA,2025/26,584.7,0.0,2478.0,24.8
GUAMINI,2025/26,541.1,0.0,2502.0,25.0
HENDERSON,2025/26,604.7,0.0,2708.0,27.1
JUAN N FERNANDEZ,2025/26,532.7,0.0,1773.0,17.7
LOBOS,2025/26,645.0,0.0,3082.0,30.8
MAR DEL PLATA,2025/26,661.4,0.0,2090.0,20.9
NECOCHEA,2025/26,533.8,0.0,2231.0,22.3
OLAVARRIA,2025/26,589.5,0.0,2339.0,23.4
ORENSE,2025/26,510.3,0.0,1453.0,14.5
PERGAMINO,2025/26,738.0,0.0,3772.0,37.7
PIGUE,2025/26,472.8,0.0,1363.0,13.6
RAUCH,2025/26,583.5,0.0,2034.0,20.3
ROQUE PEREZ,2025/26,624.5,0.0,2915.0,29.2
SAN CAYETANO,2025/26,522.0,0.0,1330.0,13.3
TANDIL,2025/26,555.4,0.0,1979.0,19.8
TRES ARROYOS,2025/26,501.1,0.0,1192.0,11.9
